UserID,CourseCategory,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,DeviceType,CourseCompletion
5618,Health,29.979719346137415,17,3,50.365655948359226,20.860772712321186,1,0
4326,Arts,27.802639509751515,1,5,62.61596979322466,65.63241524373352,1,0
5849,Arts,86.82048469711872,14,2,78.4589624023972,63.81200658802416,1,1
4992,Science,35.03842663461649,17,10,59.19885273381349,95.43316189339762,0,1
3866,Programming,92.4906469645332,16,0,98.42828500171674,18.102477525410755,0,0
8650,Health,79.46612884332329,12,7,70.2333289468058,76.48402324939777,0,1
4321,Health,78.9087242374251,10,2,86.83653261494925,22.588896140963342,1,0
4589,Business,12.068236752159779,16,3,61.55364646476677,27.410990874379625,1,0
4215,Business,81.93570917985394,8,4,90.26456414855329,33.30843667864675,0,1
8089,Programming,83.39402571104472,15,10,63.956352955520536,33.26129953014595,1,0
5010,Science,55.44885317072934,3,7,57.50783648915665,80.63469702926727,0,0
8791,Arts,27.265330641921473,17,9,70.99850119498619,0.12833632293802744,0,0
4101,Arts,12.262483785584529,13,1,68.54184823678045,48.91869023749844,1,0
3039,Programming,33.79016764768902,1,5,97.70588953857865,77.31223562370481,0,1
3379,Science,40.787972087640696,7,3,72.02018992210475,87.47619949726861,1,1
5700,Science,37.74623794822219,10,8,93.30974857144088,95.8903217174662,0,1
7567,Programming,36.36982127760847,8,10,71.74027659522311,43.54888955385587,1,1
8772,Health,26.67976913466473,15,8,64.15505767450269,21.184777691520363,1,0
6817,Business,11.178047611849541,20,5,78.02583213062266,55.69746684173562,0,0
2866,Health,56.70844279087808,6,8,81.38063449593083,49.176911118789945,0,1
3134,Science,90.89545275723643,11,9,82.80335560655193,76.06002032466282,1,1
2716,Science,19.220062447323226,6,4,70.24297667055698,69.88922262914392,1,1
3153,Arts,24.988750032357324,6,9,64.48616706067624,7.433288004684602,1,0
6584,Business,33.48224410834035,3,9,59.8758706754866,78.58320720339476,0,0
230,Science,57.668364870808745,0,5,92.00831477467003,35.024928003816655,0,0
8813,Programming,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0,1
3103,Programming,48.54343463363164,3,7,50.467631755212764,50.996831718753334,0,0
1274,Science,56.94215602063267,7,6,80.37425848450256,61.12697845853356,0,1
2398,Programming,40.813481802552786,15,0,55.02883721210786,56.94624076543875,0,0
8529,Programming,12.805246220606858,6,9,51.85830564221426,86.30231756665131,0,0
7858,Arts,64.89874148516614,13,6,97.34019871099639,68.02150504513817,1,1
7050,Programming,44.70916758562794,5,8,76.9412180222065,17.541934124071844,0,0
1676,Arts,44.463895154064346,16,10,51.70151786760175,53.400707703532966,0,0
4931,Business,79.92671792725722,18,3,82.8515882752971,69.03969779917355,1,1
1847,Programming,66.23533659953954,3,4,54.642636585229226,59.146139308126656,1,0
6083,Health,27.30889124247948,17,3,90.02120477161247,7.4349881557542075,0,0
2263,Health,30.33845961117749,11,10,85.91852407206679,94.54929861714221,0,1
8788,Arts,55.99522788037752,19,7,89.28612560657936,12.969146318848889,0,0
4546,Arts,26.021524206096856,7,8,81.67770398732854,33.32047026777094,0,1
6675,Arts,46.16776436128021,20,5,57.51320694226913,67.48314094068168,0,1
4345,Arts,14.964920149737411,9,6,96.20605086239357,35.90245247288345,0,0
7918,Science,23.371860080863165,12,1,74.71747173615051,60.72715873028089,1,1
3267,Science,35.09837657550164,13,6,53.80004944829931,42.34052102368495,1,0
4926,Business,74.53035551256862,2,7,79.58932418252478,79.92665079525295,1,1
3405,Programming,90.28199332772544,19,3,85.757982927004,47.14835242341192,0,0
99,Business,96.42768519524566,7,0,70.18434249993251,15.54444396051926,1,0
911,Science,11.445850993718908,6,8,82.99278190747742,55.47063348875232,1,0
8895,Health,21.12566598815966,7,10,67.06323236445888,5.094871160295811,1,1
2218,Business,94.96213323193646,13,8,96.74738134978736,80.8161152568603,1,1
3435,Science,87.24751758868146,0,9,60.12098346303216,5.944659811055053,1,0
3763,Programming,20.012157362341405,1,2,66.3330807982308,43.60312452908891,0,0
4190,Health,76.08711898360353,16,10,69.87188422800713,5.123885111849413,1,0
8217,Programming,89.88527688054053,2,3,89.94464524289667,78.47655174140448,1,0
3823,Science,36.58505759204168,13,7,78.47425985306087,85.52357567109635,0,1
3275,Health,68.0311152231597,13,0,96.94199526194947,5.1013744565620245,0,0
2106,Arts,3.34791967027327,8,4,96.54886729714609,27.991879727057057,1,0
7257,Arts,9.739541103872535,15,1,70.99381544683521,61.79129346746699,0,0
8001,Programming,31.21067472319168,4,8,72.95086263740637,94.8652576426956,0,1
3399,Programming,84.69650096837621,15,7,90.25993654537126,44.68531007614127,1,1
3108,Arts,41.54232954759268,7,2,59.47520889482437,93.94135862944825,0,0
8761,Arts,3.52919271103881,13,9,85.73436748006172,5.514118167504456,0,1
8781,Arts,32.63535722496225,10,4,74.75876252080349,70.11965165777208,1,1
722,Arts,49.57074401392171,10,10,77.69134096892444,18.701011306557458,0,1
3062,Business,80.15828576609829,2,5,79.2052751471904,19.133233403324958,1,0
3097,Arts,45.68233579025563,12,10,91.99174290445994,78.9148654932726,0,1
8491,Programming,38.49037566996723,17,8,63.13736293025264,78.86536604091218,0,0
6314,Arts,53.58868062990964,0,3,51.604869763345455,47.47055356057127,1,0
6438,Health,56.17716140693022,9,8,97.27643294899133,32.06852075725271,1,1
6829,Science,9.858359915259323,8,9,60.669424134446984,25.490091204083154,1,0
5191,Health,5.971099024299701,14,9,60.650799169906406,38.471446170986056,1,0
4114,Programming,94.78114798588702,14,4,87.78225140011364,15.985817563272652,0,1
8979,Programming,56.227531063889344,18,0,96.62762883560018,64.02928474191076,1,1
7288,Health,96.932283386797,2,4,59.31723336318424,27.12688424166274,1,0
558,Health,53.218189908451485,3,7,97.00846595291435,93.15020403256345,1,1
6635,Science,27.8746056390781,20,9,89.02223857909608,28.45747766359976,0,1
993,Science,36.95572324790628,7,4,70.54541633714291,12.21204793660876,1,1
2822,Programming,13.336806563044597,18,1,77.6143296891323,36.65234427163578,1,0
1242,Health,14.218039583929137,18,10,91.70042042457573,69.64615576728983,0,1
6073,Business,67.7494196011917,7,4,52.168926453753,66.05835423911273,0,1
6017,Health,95.93155587967532,12,5,52.04329207292744,59.76003664322449,0,0
6123,Health,22.773497069227545,5,2,65.4381647257423,76.96820347037485,1,0
4506,Business,53.87606731850069,11,7,87.50740175850824,95.55933224544798,1,1
4899,Health,42.09273477177211,9,2,75.59385542726584,43.52847751132492,1,0
8938,Health,40.398077268066366,7,4,53.408002982344534,48.793590491573624,1,1
4891,Health,65.0337603745606,19,7,74.62656494021554,35.4340401666406,0,1
7310,Business,2.346835149616159,4,2,88.32572285678341,61.32818909542181,0,0
4045,Science,67.1254398101185,3,10,60.793632364030756,67.46767278561448,1,0
2277,Health,32.551028471254334,4,7,50.52054933062579,26.335472838207906,1,0
6089,Health,33.221429878985646,10,0,71.02668603641426,69.55960060287876,1,1
3329,Health,3.608385887197843,12,6,73.87502611171486,71.4711334471692,0,1
3523,Health,81.137847751928,9,4,52.5479188384228,71.03879989153981,1,1
2174,Arts,75.48784291822726,1,5,51.793778258704506,24.74935070651185,1,0
5297,Arts,60.93463682338108,20,9,81.58560513375862,29.00188364857853,1,1
5485,Science,1.776647202821696,11,7,50.780573331359264,59.4793471672893,0,0
1181,Business,55.29169273744926,19,2,81.43226203068515,79.31814212891162,1,1
1484,Programming,54.17976283879886,9,2,73.66606452746696,35.7469591802418,1,0
2556,Programming,19.430338538860955,18,6,63.9813173841432,51.22714861350365,1,0
3106,Health,36.685839885776296,9,3,97.01783572328601,79.00436169083594,0,1
4135,Health,15.086335642482647,18,2,77.47082149010794,86.6319592006087,1,0
7417,Health,9.880230403817208,2,5,52.14262839320924,42.92665417639105,0,0
7376,Health,57.10007792126629,16,1,98.43352614008884,95.64807029994114,0,1
5110,Business,22.17836417947205,0,9,68.00077698333658,88.49886056707629,0,0
4069,Health,87.55093579174928,9,0,86.94631148227096,89.25673969153371,0,1
7560,Health,16.895223265553852,14,9,68.57645327350014,48.34825924315631,0,0
5813,Arts,90.90507359950244,19,8,78.78184188120731,46.47547351933574,0,1
3596,Programming,48.76269556773064,17,4,67.40102537778354,41.64978118324392,1,0
7467,Business,64.2336174728836,19,7,96.1427774048847,6.182249654034178,1,1
8171,Arts,1.3345058340328149,8,5,89.37415887109415,49.23327199072878,1,0
2981,Arts,6.258941795701109,19,5,97.95822686989939,17.25951474329066,0,0
345,Business,24.681897715387656,4,10,76.06499391624814,30.622570345458012,1,0
6748,Health,18.13941847735042,0,0,62.81103980889195,82.11963631283035,1,0
1314,Programming,10.056812835035064,10,8,75.4104087518778,25.956530918507347,0,0
6719,Programming,84.14609769473014,15,5,73.70656958563228,62.54344521952093,1,1
5307,Arts,9.742959400639203,9,7,62.05238624899021,55.88842511336092,0,0
7593,Business,35.96228582597124,4,0,86.88619783111699,73.9792576500326,1,0
5817,Arts,3.440949514982396,0,6,87.17420880316594,49.40500868803226,0,0
6649,Science,25.470299714857244,0,9,51.52728968677454,72.11856514527716,1,0
4175,Health,15.344967271427256,6,8,90.62201201982947,63.37961430561173,0,1
7581,Business,54.18360976009397,20,6,65.73490412386319,65.10002248370924,0,1
2797,Programming,14.452728862631826,13,3,99.01323750512739,4.446850551911396,0,0
6528,Arts,94.65421714056573,4,10,67.77543537154133,3.4368232405588506,0,0
589,Science,9.684046530276468,18,0,61.66858157318342,38.78834401380908,0,0
318,Business,11.826234407838406,6,2,61.12123409860745,61.65013487721439,1,0
1051,Science,89.88178483281057,18,1,73.09700977504747,61.85231898492772,0,1
1849,Science,87.28302239010452,15,10,85.9452131673776,43.989207150781965,1,1
7463,Business,19.268970022927768,0,6,69.57944029756533,10.806673975007207,0,0
8890,Health,13.022818957109125,11,6,75.82772230082863,3.193659352528555,0,0
8208,Business,88.99990602599178,11,6,69.62323914564101,91.94907791430667,0,1
2446,Science,72.50880566404707,15,7,91.56188149358692,89.70828922039557,1,1
7874,Arts,15.187693591285457,8,5,51.381414967815076,52.16741693520286,0,0
5954,Business,17.9797867671542,6,2,67.17301884593982,71.79811032462091,0,0
282,Health,87.26202564168797,3,7,70.86462688673276,95.53449799797217,0,1
5126,Health,10.471202332393055,8,9,76.52730196967582,72.84725350098749,1,1
8522,Programming,29.24110253221175,6,10,76.85944197829933,33.770820881830744,0,1
2478,Business,29.445702989537295,7,6,85.18513763219013,26.158099617094877,0,1
8839,Science,34.17730240292625,20,6,98.48392741798904,69.34892468921299,0,1
5217,Business,26.820034292084856,8,4,84.1227064022452,72.65406916868662,1,1
2844,Programming,1.68880114302583,5,8,86.52103600402899,18.250101824182362,1,0
7584,Arts,52.148785672131666,2,7,88.28163858125463,79.30162112492182,0,1
